2018-12-13 11:36:16,289 [INFO ][org.jppf.utils.FileUtils.initJPPFTempDir(547)]: JPPF temp folder /tmp/.jppf
2018-12-13 11:36:17,000 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(80)]: --------------------------------------------------------------------------------
2018-12-13 11:36:17,008 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(81)]: JPPF Version: 5.2.8, Build number: 1910, Build date: 2017-08-10 06:14 CEST
2018-12-13 11:36:17,009 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(82)]: starting driver with PID=3008, UUID=EACDCD4D-E97B-30B1-4178-3F54250CA4C9
2018-12-13 11:36:17,009 [INFO ][org.jppf.utils.VersionUtils.logVersionInformation(83)]: --------------------------------------------------------------------------------
2018-12-13 13:10:50,070 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=62, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=62], state=WAITING_JOB, uuid=34B31E51-55D1-6FB7-2754-5086A7285CBF, connectionUuid=34B31E51-55D1-6FB7-2754-5086A7285CBF_2, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:10:50,070 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=64, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=64], state=WAITING_JOB, uuid=736A3D7C-15C4-0A83-8C9A-07B4AD45DE35, connectionUuid=736A3D7C-15C4-0A83-8C9A-07B4AD45DE35_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:13:36,607 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=68, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=68], state=WAITING_JOB, uuid=DA7B3F72-B074-1405-5A52-5E31F5445939, connectionUuid=DA7B3F72-B074-1405-5A52-5E31F5445939_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:15:31,918 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=72, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=72], state=WAITING_JOB, uuid=7BC088DD-B77C-86BD-85D0-BBD4963B17D9, connectionUuid=7BC088DD-B77C-86BD-85D0-BBD4963B17D9_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:16:47,403 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=76, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=76], state=WAITING_JOB, uuid=663F7F6C-4563-A26E-0E91-337A207D70E4, connectionUuid=663F7F6C-4563-A26E-0E91-337A207D70E4_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:17:12,471 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=80, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=80], state=WAITING_JOB, uuid=1D423060-B6CF-E4DA-AFD1-82C9474383FE, connectionUuid=1D423060-B6CF-E4DA-AFD1-82C9474383FE_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:18:05,738 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=84, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=84], state=WAITING_JOB, uuid=5A61B689-C193-9D41-FCA2-31F869DED272, connectionUuid=5A61B689-C193-9D41-FCA2-31F869DED272_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:19:11,383 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=88, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=88], state=WAITING_JOB, uuid=B51B6C44-2E30-36E9-61A6-FE012A05EC83, connectionUuid=B51B6C44-2E30-36E9-61A6-FE012A05EC83_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:20:40,929 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=92, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=92], state=WAITING_JOB, uuid=8F318BBD-02D2-99DA-CE62-2C2FF9A63F93, connectionUuid=8F318BBD-02D2-99DA-CE62-2C2FF9A63F93_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 13:25:12,074 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=96, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=96], state=WAITING_JOB, uuid=32C98F97-B17C-55B2-C927-479F98209746, connectionUuid=32C98F97-B17C-55B2-C927-479F98209746_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 14:39:56,108 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=100, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=100], state=WAITING_JOB, uuid=BEAF9159-C471-CF07-7FFA-9F36FDE205E1, connectionUuid=BEAF9159-C471-CF07-7FFA-9F36FDE205E1_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 14:43:59,067 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=112, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=112], state=WAITING_JOB, uuid=11D549C6-A14B-23E9-5DF7-594A340F7D3E, connectionUuid=11D549C6-A14B-23E9-5DF7-594A340F7D3E_3, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 14:43:59,067 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=104, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=104], state=WAITING_JOB, uuid=78E4433A-D97A-5C62-60E5-459E1CA90368, connectionUuid=78E4433A-D97A-5C62-60E5-459E1CA90368_1, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
2018-12-13 14:43:59,067 [WARN ][org.jppf.nio.StateTransitionTask.run(89)]: error on channel SelectionKeyWrapper[id=108, readyOps=1, interestOps=0, context=ClientContext[channel=SelectionKeyWrapper[id=108], state=WAITING_JOB, uuid=AB8EFD6D-B16B-7128-3FC6-945B3ACDAA3A, connectionUuid=AB8EFD6D-B16B-7128-3FC6-945B3ACDAA3A_2, peer=false, ssl=false], nbTasksToSend=0, completedBundles={[]}] : java.io.EOFException: null
